Unnamed: 0,ctry,fh09,polity09,gini,fparl08,mena,lati,cari,east,sovi,afri,corr0509,corr_round,fh_status
7,Argentina,2.0,8.0,48.8,39.76,0,1,0,0,0,0,-0.420792605,-0.42,free
10,Australia,1.0,10.0,35.2,29.65,0,0,0,0,0,0,1.979293042,1.98,free
11,Austria,1.0,10.0,29.1,26.64,0,0,0,0,0,0,1.903840928,1.9,free
18,Belgium,1.0,8.0,33.0,36.2,0,0,0,0,0,0,1.329839789,1.33,free
20,Benin,2.0,7.0,38.6,10.84,0,0,0,0,0,1,-0.608027701,-0.61,free
25,Botswana,2.5,8.0,61.0,11.11,0,0,0,0,0,1,0.947725045,0.95,free
26,Brazil,2.0,8.0,55.0,9.43,0,1,0,0,0,0,-0.119536146,-0.12,free
28,Bulgaria,2.0,9.0,29.2,21.67,0,0,0,0,1,0,-0.0693627,-0.07,free
33,Canada,1.0,10.0,32.6,24.94,0,0,0,0,0,0,1.942538676,1.94,free
39,Chile,1.0,10.0,52.0,12.66,0,1,0,0,0,0,1.370524156,1.37,free
45,Costa Rica,1.0,10.0,48.9,36.84,0,1,0,0,0,0,0.483972845,0.48,free
47,Croatia,1.5,9.0,29.0,20.92,0,0,0,0,1,0,0.120586549,0.12,free
50,Czech Republic,1.0,8.0,25.8,16.01,0,0,0,0,1,0,0.422967221,0.42,free
51,Denmark,1.0,10.0,24.7,37.99,0,0,0,0,0,0,2.378323998,2.38,free
54,Dominican Republic,2.0,8.0,48.4,17.14,0,1,0,0,0,0,-0.618924194,-0.62,free
57,El Salvador,2.5,8.0,46.9,16.67,0,1,0,0,0,0,-0.288100009,-0.29,free
60,Estonia,1.0,9.0,36.0,20.79,0,0,0,0,0,0,0.975601677,0.98,free
64,Finland,1.0,10.0,26.9,41.5,0,0,0,0,0,0,2.335072153,2.34,free
65,France,1.0,9.0,32.7,19.57,0,0,0,0,0,0,1.416472656,1.42,free
70,Germany,1.0,10.0,28.3,31.13,0,0,0,0,0,0,1.745019936,1.75,free
71,Ghana,1.5,8.0,42.8,7.89,0,0,0,0,0,1,-0.031224382,-0.03,free
73,Greece,1.5,10.0,34.3,14.67,0,0,0,0,0,0,0.29769662,0.3,free
80,Guyana,2.5,6.0,43.2,30.0,0,0,1,0,0,0,-0.581312736,-0.58,free
84,Hungary,1.0,10.0,30.0,11.14,0,0,0,0,1,0,0.575809065,0.58,free
86,India,2.5,9.0,36.8,9.18,0,0,0,0,0,0,-0.336544078,-0.34,free
87,Indonesia,2.5,8.0,37.6,11.64,0,0,0,1,0,0,-0.70451916,-0.7,free
90,Ireland,1.0,10.0,34.3,15.49,0,0,0,0,0,0,1.689074613,1.69,free
92,Israel,1.5,10.0,39.2,14.17,1,0,0,0,0,0,0.885728613,0.89,free
93,Italy,1.5,10.0,36.0,20.17,0,0,0,0,0,0,0.238881472,0.24,free
94,Jamaica,2.5,9.0,45.5,13.58,0,0,1,0,0,0,-0.406013046,-0.41,free
95,Japan,1.5,10.0,24.9,12.33,0,0,0,0,0,0,1.289553406,1.29,free
101,"Korea, Rep.",1.5,8.0,31.6,13.71,0,0,0,1,0,0,0.532592111,0.53,free
106,Latvia,1.5,8.0,36.3,20.0,0,0,0,0,0,0,0.335019286,0.34,free
112,Lithuania,1.0,10.0,35.8,17.73,0,0,0,0,0,0,0.197262021,0.2,free
120,Mali,2.5,7.0,39.0,10.2,0,0,0,0,0,1,-0.469028823,-0.47,free
126,Mexico,2.5,8.0,51.6,22.13,0,1,0,0,0,0,-0.245729212,-0.25,free
130,Mongolia,2.0,10.0,36.6,4.17,0,0,0,1,0,0,-0.618422636,-0.62,free
135,Namibia,2.0,6.0,74.3,26.92,0,0,0,0,0,1,0.284012119,0.28,free
137,Netherlands,1.0,10.0,30.9,39.11,0,0,0,0,0,0,2.061413695,2.06,free
140,New Zealand,1.0,10.0,36.2,33.61,0,0,0,0,0,0,2.278718833,2.28,free
145,Norway,1.0,10.0,25.8,36.09,0,0,0,0,0,0,1.946724937,1.95,free
149,Panama,1.5,9.0,54.9,16.67,0,1,0,0,0,0,-0.311231456,-0.31,free
152,Peru,2.5,9.0,50.5,29.17,0,1,0,0,0,0,-0.310562361,-0.31,free
154,Poland,1.0,10.0,34.9,18.04,0,0,0,0,1,0,0.350847436,0.35,free
155,Portugal,1.0,10.0,38.5,28.26,0,0,0,0,0,0,1.036326387,1.04,free
158,Romania,2.0,9.0,32.1,9.77,0,0,0,0,1,0,-0.101114463,-0.1,free
170,Slovak Republic,1.0,10.0,25.8,19.33,0,0,0,0,1,0,0.435218744,0.44,free
171,Slovenia,1.0,10.0,31.2,10.0,0,0,0,0,1,0,1.010599839,1.01,free
174,South Africa,2.0,9.0,57.8,33.92,0,0,0,0,0,1,0.33295983,0.33,free
175,Spain,1.0,10.0,34.7,33.61,0,0,0,0,0,0,1.101790267,1.1,free
183,Sweden,1.0,10.0,25.0,46.99,0,0,0,0,0,0,2.147107678,2.15,free
184,Switzerland,1.0,10.0,33.7,27.24,0,0,0,0,0,0,2.058660701,2.06,free
192,Trinidad and Tobago,2.0,10.0,40.3,33.33,0,0,1,0,0,0,-0.108312324,-0.11,free
199,Ukraine,2.5,7.0,27.6,8.22,0,0,0,0,0,0,-0.722976016,-0.72,free
201,United Kingdom,1.0,10.0,36.0,19.61,0,0,0,0,0,0,1.714136844,1.71,free
202,United States,1.0,10.0,40.8,17.01,0,0,0,0,0,0,1.338106033,1.34,free
203,Uruguay,1.0,10.0,47.1,12.31,0,1,0,0,0,0,1.112514148,1.11,free
